brain|env|best_score|collected|mean_def_frac
fsm|rich_close|1043.20|994.7|0.000
fsm|scarce_far|152.20|103.7|0.000
fsm|predator|556.96|508.3|0.002
fsm|patchy|398.20|349.7|0.000
fsm|maze|132.53|84.0|0.000
ann|rich_close|319.67|279.7|0.000
ann|scarce_far|80.33|40.3|0.000
ann|predator|142.67|102.7|0.000
ann|patchy|155.33|115.3|0.000
ann|maze|84.67|44.7|0.000
cppn|rich_close|950.33|910.3|0.000
cppn|scarce_far|83.00|43.0|0.000
cppn|predator|519.07|480.3|0.000
cppn|patchy|293.67|253.7|0.000
cppn|maze|101.73|62.0|0.000
snn|rich_close|207.67|167.7|0.000
snn|scarce_far|71.00|31.0|0.000
snn|predator|113.67|73.7|0.000
snn|patchy|139.33|99.3|0.000
snn|maze|59.80|20.0|0.000
mb|rich_close|588.33|539.7|0.000
mb|scarce_far|81.00|32.3|0.000
mb|predator|143.67|95.0|0.000
mb|patchy|128.67|80.0|0.000
mb|maze|80.67|32.0|0.000
cx|rich_close|909.53|861.0|0.000
cx|scarce_far|140.87|92.3|0.000
cx|predator|243.51|195.0|0.001
cx|patchy|248.20|199.7|0.000
cx|maze|133.53|85.0|0.000
