=== Full evolve sweep start 10:43:10 ===
--- horizon=3000 10:43:10 ---
  [fsm/scarce_far/3000] score=1808.90 collected=1769.5
  [fsm/predator/3000] score=4828.97 collected=4781.0
  [fsm/patchy/3000] score=3067.00 collected=3020.5
  [fsm/rich_close/3000] score=9188.00 collected=9139.5
  [ann/rich_close/3000] score=1390.60 collected=1359.5
  [ann/scarce_far/3000] score=64.50 collected=64.5
  [ann/predator/3000] score=299.20 collected=297.0
  [fsm/maze/3000] score=736.10 collected=696.5
  [ann/patchy/3000] score=394.50 collected=390.5
  [ann/maze/3000] score=56.50 collected=56.5
  [cppn/scarce_far/3000] score=284.20 collected=244.5
  [cppn/rich_close/3000] score=4570.00 collected=4530.0
  [cppn/predator/3000] score=299.20 collected=297.0
  [cppn/patchy/3000] score=394.50 collected=390.5
  [snn/rich_close/3000] score=617.40 collected=602.0
  [cppn/maze/3000] score=228.40 collected=224.0
